id,occurrenceID,basisOfRecord,institutionCode,catalogNumber,scientificName,recordedBy,kingdom,class,order,family,taxonRank,scientificNameAuthorship,genus,specificEpithet,identifiedBy,dateIdentified,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,eventDate,verbatimEventDate,associatedTaxa,habitat,sex,lifeStage,samplingProtocol,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,bibliographicCitation
1,878c4d76-85ac-11ea-bc55-0242ac130003,PreservedSpecimen,UFES,CNCHYMEN 132936,Gryonoides brasiliensis,M. Alvarenga,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,brasiliensis,,,,,,Holotype of Gryonoides brasiliensis,1983-12,XII. 1983,,,female,adult,,Brazil,Anguas Vermelhas,Minas Gerais,,,,-15.739468,-41.454623,3036,,,BRAZIL: Anguas Vermelhas	 Minas Gerais XII. 1983 M. Alvarenga,
2,878c5000-85ac-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132937,Gryonoides brasiliensis,M. Alvarenga,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,brasiliensis,,,,,,Paratype of Gryonoides brasiliensis,1984-12,XII. 1984,,,female,adult,,Brazil,Anguas Vermelhas,Minas Gerais,,,,-15.739468,-41.454623,3036,,,BRAZIL: Anguas Vermelhas	 Minas Gerais XII. 1983 M. Alvarenga,
3,000e4b3e-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 133023,Gryonoides flaviclavus flaviclavus,T. Pucci,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,2013-02-11/13,11-13.ii.2013,,,female,adult,,Peru,,,,,,-3.617222,-72.23556,1000,,,PERU: Loreto	 Madre Selva Biol. Station	 11-13.ii.2013	 T. Pucci	 sweeping,
4,000e172c-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132723,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
5,000e17f4-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132724,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
6,000e1966-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132725,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
7,000e1a2e-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132726,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
8,000e1aec-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132727,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
9,000e1c7c-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132728,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
10,000e1d4e-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132729,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
11,000e1ede-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132730,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
12,000e1fce-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132731,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,I. 1994,,Creek Bed,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua El Limon	 Poso del Diablo	 I. 1994 YPT J.L. Garcia in creekbed,
13,000e2122-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132732,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1996-01-11,11.i.1996,,,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua Maracay	 El Limón Pozo del Diablo 11.i.1996	 M. Sharkey	 YPT,
14,000e224e-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132733,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,i.1994,,Creek,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,500,500,VENEZUELA: Aragua Maracay	 Pozo del Diablo	 500m	 i.1994 J.L.Garcia	 creek	 YPT,
15,000e2320-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132734,Gryonoides flaviclavus flaviclavus,J. L. Garcia,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1994-01,i.1994,,Creek,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,500,500,VENEZUELA: Aragua Maracay	 Pozo del Diablo	 500m	 i.1994 J.L.Garcia	 creek	 YPT,
16,000e2492-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132753,Gryonoides flaviclavus flaviclavus,O. Roppa,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1996-01-11,11.i.1996,,,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua Maracay	 El Limón Pozo del Diablo 11.i.1996	 M. Sharkey	 MT/FIT,
17,000e2564-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132754,Gryonoides flaviclavus flaviclavus,O. Roppa,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1996-01-11,11.i.1996,,,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua Maracay	 El Limón Pozo del Diablo 11.i.1996	 M. Sharkey	 YPT,
18,000e2708-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132755,Gryonoides flaviclavus flaviclavus,O. Roppa,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1996-01-11,11.i.1996,,,female,adult,,Venezuela,,,,,,10.2979,-67.6004,2000,,,VENEZUELA: Aragua Maracay	 El Limón Pozo del Diablo 11.i.1996	 M. Sharkey	 MT/FIT,
19,000e282a-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132756,Gryonoides flaviclavus flaviclavus,O. Roppa,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1976-02,Feb. 1976,,,female,adult,,Brazil,,,,,,-11.863708,-55.50269,5000,,,BRAZIL	 Mato Grosso Sinop	 Feb. 1976 O.Roppa mal.Trap,
20,000e2942-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132757,Gryonoides flaviclavus flaviclavus,M. Alvarenga,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1975-10,X.1975,,,female,adult,,Brazil,,,,,,-11.863708,-55.50269,5000,,,BRAZIL	 Mato Grosso Sinop	 X.1975 M.Alvarenga	 Mal.Trap,
21,000e2a5a-8655-11ea-bc55-0242ac130003,PreservedSpecimen,CNCI,CNCHYMEN 132758,Gryonoides flaviclavus flaviclavus,M. Alvarenga,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,,,,,,Paratype of Gryonoides flaviclavus,1979-09,IX.1979,,,female,adult,,Brazil,,,,,,-4.59,-71.81,500,,,Brazil	 Amazonas Estirar do Ecuador Rio Javari IX.1979 M. Alvarenga,
